key,b_star_traditional,b_star_ml,skip_list_traditional,skip_list_ml
7494587,0.1,0.3,0.2,0.2
7487139,0.6,0.2,0.4,0.9
7492490,0.1,0.1,0.3,0.2
7495720,0.1,0.1,0.3,0.2
7503085,0.2,0.1,0.5,0.2
7500511,0.2,0.2,0.4,0.3
7492103,0.1,0,0.3,0.2
7497445,0.2,0.3,0.3,0.6
7491391,0.1,0.1,0.2,0.2
7491224,0.1,0.2,0.6,0.4
7491743,0.1,0.2,0.2,0.4
7477780,0.2,0.1,0.2,0.2
7495890,0.3,0.2,0.2,0.2
7480088,0.2,0,0.1,0.2
7490444,0.1,0,0.3,0.3
7511049,0.2,0.1,1.3,0.6
7491850,0.2,0,0.3,0.1
7476638,0.3,0,0.2,0.3
7477203,0.2,0.1,0.2,0.2
7479775,0.1,0.2,0.2,0.2
7478388,0.2,0.2,0.6,0.4
7503643,0.3,0.2,0.4,0.3
7499335,0.2,0,0.3,0.2
7503040,0.2,0,0.6,0.4
7512986,0.1,0.1,0.5,0.2
7498978,0.1,0.2,0.4,0.2
7511157,0.1,0,0.5,0.1
7491654,0.1,0,0.2,0.4
7500317,0.2,0,0.7,0.2
7482372,0.4,0.1,0.4,0.3
7486271,0.1,0.1,0.3,0.3
7484942,0.2,0.1,0.2,0.2
7502191,0.1,0.2,0.3,0.3
7494465,0.1,0.1,0.3,0.2
7508480,0.3,0.2,0.6,0.3
7499197,0.2,0,0.3,0.3
7510173,0.2,0,0.4,0.5
7498291,0.1,0,0.3,0.2
7500854,0.2,0.1,0.6,0.2
7482727,0.2,0.2,0.6,0.6
7486605,0.2,0,0.5,0.2
7497888,0.6,0,0.5,0.5
7485547,0.2,0.1,0.4,0.4
7482634,0.1,0,0.3,0.3
7478539,0.1,0.2,0.2,0.4
7513740,0.3,0.2,0.7,0.2
7484289,0.2,0,0.4,0.5
7478457,0.1,0.1,0.1,0.3
7512434,0.3,0.1,0.2,0.3
7512227,0.1,0.2,0.3,0.3
7480858,0.1,0.1,0.9,0.6
7498501,0.1,0,0.3,0.4
7505646,0.2,0,0.2,0.2
7479541,0.2,0.5,1.1,0.3
7497341,0.2,0.1,0.4,0.3
7514004,0.1,0.1,0.4,0.4
7490183,0.1,0,0.5,0.4
7500870,0.1,0,0.4,0.4
7500026,0.1,0.1,0.2,0.8
7490923,0.1,0,0.1,0.7
7483263,0.3,0.1,0.2,0.3
7486076,0.1,0,0.3,0.4
7499908,0.1,0.2,0.7,0.3
7486013,0.2,0.1,0.3,0.2
7496563,0.3,0.2,0.2,0.3
7502038,0.1,0.4,0.8,0.1
7484949,0.1,0.1,0.2,0.2
7501615,0.1,0.2,0.2,0.3
7487508,0.1,0.1,0.3,0.2
7488280,0.2,0.2,0.2,0.2
7510169,0.2,0.1,0.3,0.2
7494790,0.5,0.2,0.4,0.7
7512285,0.2,0,0.7,0.2
7513494,0.1,0.1,0.3,0.2
7504572,0.3,0.1,0.3,0.2
7490950,0.2,0.1,0.3,0.6
7489151,0.2,0.2,0.4,0.3
7506366,0.2,0.1,0.5,0.3
7512521,0.2,0.1,0.5,0.3
7491756,0.1,0.2,0.2,0.2
7498496,0.1,0.1,0.3,0.2
7499400,0.1,0.1,0.3,0.5
7498234,0.2,0,0.4,0.3
7479060,0.1,0,0.4,0.2
7481491,0.2,0.1,0.2,0.2
7478120,0.2,0,0.2,0.4
7507807,0.3,0.1,0.5,0.9
7481659,9.8,0,0.1,0.3
7496840,0.4,0.1,0.3,0.7
7480208,0.4,0.1,0.5,0.4
7475955,0.1,0,0.4,0.4
7494810,0.2,0.2,0.3,0.2
7475857,0.1,0.2,0.3,0.4
7508706,0.1,0.1,0.2,0.3
7510132,0.1,0.1,0.3,0.2
7493887,0.2,0.1,0.5,0.1
7480557,0.2,0.1,0.3,0.3
7510701,0.2,0,0.2,0.2
7507678,0.2,0.1,0.2,0.2
7490606,0.2,0.1,0.3,0.3
7481717,0.1,0.1,0.2,0.6
7497319,0.2,0.1,0.3,0.2
7489118,0.2,0,0.2,0.3
7479558,0.1,0,0.1,0.1
7504294,0.2,0,0.2,0.3
7504970,0.1,0,0.8,0.3
7501249,0.2,0,0.3,0.2
7498007,0.2,0,0.2,0.3
7512059,0.4,0.2,0.4,0.7
7514352,0.1,0.1,0.1,0.4
7493989,0.1,0.1,0.5,0.3
7490060,0.2,0.1,0.6,0.2
7485325,0.2,0.1,0.3,0.2
7498387,0.6,0.1,0.3,0.2
7475785,0.1,0,0.8,0.2
7512968,0.1,0,0.4,0.3
7495072,0.2,0,0.5,0.1
7477583,0.2,0,0.5,0.1
7488116,0.1,0,0.4,0.3
7504916,0.2,0,0.2,0.4
7481635,0.1,0,0.2,0.1
7483045,0.1,0,0.3,0.3
7507448,0.1,0,0.5,0.3
7504153,0.2,0.1,0.8,0.3
7485129,0.4,0.1,0.3,0.2
7499410,0.1,0,0.2,0.3
7483171,0.1,0,0.2,0.5
7502080,0.2,0,0.3,0.3
7483122,0.1,0,0.3,0.2
7483391,0.2,0.1,0.3,0.4
7501982,0.2,0,0.3,0.2
7504221,0.2,0.1,0.3,0.2
7506461,0.1,0.1,0.2,0.3
7494400,0.2,0.1,0.6,0.3
7500902,0.2,0.1,0.4,0.2
7492617,0.1,0.1,0.6,0.2
7502659,0.4,0.2,0.6,0.9
7479409,0.1,0.2,0.2,0.5
7502786,0.6,0.1,0.2,0.3
7510174,0.2,0,0.3,0.2
7498767,0.1,0,0.2,0.2
7497438,0.2,0,0.3,0.1
7481104,0.2,0.1,0.3,0.5
7482319,0.2,0.1,0.3,0.6
7495160,0.2,0.1,0.2,0.3
7492215,0.1,0,0.1,0.2
7513636,0.2,0.1,0.4,0.2
7506321,0.2,0.1,0.4,0.2
7484311,0.2,0.1,0.2,0.4
7477069,0.2,0.1,0.1,0.4
7489891,0.1,0.3,0.9,0.3
7477647,0.1,0,0.3,0.4
7497765,0.1,0,0.2,0.2
7477948,0.2,0,0.4,0.4
7502240,0.1,0,0.3,0.2
7491697,0.1,0.2,0.2,0.2
7485125,0.2,0.1,0.2,0.2
7506635,0.2,0.1,0.3,0.2
7479579,0.1,0.1,0.2,0.1
7495776,0.2,0.1,0.3,0.3
7480180,0.1,0.1,0.2,0.1
7501874,0.1,0.1,0.2,0.3
7506902,0.1,0.1,0.4,0.7
7512984,0.1,0,0.2,0.2
7502879,0.2,0,0.3,0.3
7508625,0.1,0,0.2,0.2
7506992,0.1,0,0.2,0.3
7501991,0.1,0.1,0.2,0.1
7494800,0.1,0.5,0.2,0.2
7484684,0.2,0.2,0.8,0.6
7493720,0.3,0.3,0.4,0.3
7505813,0.2,0.1,0.6,0.3
7485026,0.1,0.1,0.6,0.3
7514303,0.1,0.1,0.4,0.3
7503416,0.3,0.1,0.2,0.2
7508359,0.1,0.1,0.4,0.1
7497105,0.1,0.1,0.3,0.5
7504405,0.1,0.1,0.4,0.4
7511781,0.3,0.2,0.4,0.5
7494097,0.1,0.1,0.2,0.2
7511449,0.1,0.2,0.2,0.2
7496623,0.2,0.1,0.6,0.4
7502176,0.1,0.1,0.4,0.2
7481620,0.1,0.1,0.2,0.1
7505995,0.1,0.3,0.2,0.2
7513187,0.1,0.1,0.2,0.2
7481953,0.1,0.1,0.2,0.5
7480340,0.5,0.1,0.8,0.4
7495294,0.1,0.1,0.4,0.3
7482021,0.1,0.1,0.2,0.2
7497430,0.1,0.1,0.2,0.2
7490763,0.2,0.1,0.8,0.4
7512797,0.2,0,0.3,0.1
7491972,0.1,0.1,0.3,0.2
7479668,0.1,0.1,0.2,0.3
7498534,0.2,0.1,0.2,0.2
7496850,0.2,0.1,0.1,0.2
7511646,0.3,0.1,0.2,0.2
7484989,0.1,0.1,0.2,0.2
7506596,0.1,0.3,0.3,0.2
7493806,0.2,0.1,0.4,0.3
7491200,0.3,0.1,0.3,0.9
7493875,0.2,0,0.3,0.2
7513249,0.2,0.1,0.4,0.3
7513086,0.1,0.1,0.2,0.2
7487941,0.2,0.1,0.3,0.2
7488287,0.1,0.1,0.2,0.2
7481440,0.3,0.1,0.2,0.2
7486209,0.1,0,0.4,0.3
7481160,0.1,0,0.2,0.2
7484335,0.2,0,0.4,0.2
7482818,0.1,0,0.6,0.4
7487568,0.1,0,0.2,0.2
7498461,0.2,0,0.6,0.3
7490835,0.1,0.1,0.1,0.2
7511486,0.3,0.2,0.4,0.4
7493219,0.2,0.1,0.3,0.3
7481379,0.2,0.2,0.2,0.2
7504141,0.2,0.1,0.3,0.2
7504249,0.1,0.1,0.1,0.1
7501843,0.2,0,0.2,0.2
7476582,0.2,0.1,0.5,0.3
7511232,0.2,0.2,0.3,0.3
7494229,0.2,0.1,0.3,0.3
7490706,0.1,1.3,0.5,0.6
7498766,0.1,0,0.3,0.3
7491464,0.2,0.1,0.4,0.5
7492632,0.2,0.1,0.3,0.1
7480987,0.1,0.1,0.2,0.2
7495881,0.1,0.1,0.1,0.3
7506760,0.1,0.1,0.3,0.2
7496883,0.1,0.1,0.2,0.3
7499270,0.2,0.1,0.4,0.5
7509842,0.1,0.1,0.3,0.3
7480210,0.1,0.1,0.1,0.2
7493660,0.2,0.1,0.4,0.2
7513373,0.1,0,0.2,0.5
7479610,0.1,0,0.1,0.3
